id,season,team1,team2,winner,,,,,,,,,,Row Labels,Count of winner
237,2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,,,,,,,,,,Chennai Super Kings,1
244,2011,Kochi Tuskers Kerala,Pune Warriors,Pune Warriors,,,,,,,,,,Deccan Chargers,1
247,2011,Kochi Tuskers Kerala,Mumbai Indians,Kochi Tuskers Kerala,,,,,,,,,,Delhi Daredevils,1
252,2011,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,,,,,,,,,,Kings XI Punjab,1
255,2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,,,,,,,,,,Kochi Tuskers Kerala,6
261,2011,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,,,,,,,,,,Pune Warriors,1
265,2011,Kochi Tuskers Kerala,Deccan Chargers,Deccan Chargers,,,,,,,,,,Rajasthan Royals,1
269,2011,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils,,,,,,,,,,Royal Challengers Bangalore,2
274,2011,Kochi Tuskers Kerala,Delhi Daredevils,Kochi Tuskers Kerala,,,,,,,,,,Grand Total,14
278,2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,,,,,,,,,,,
283,2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,,,,,,,,,,,
290,2011,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,,,,,,,,,,,
294,2011,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,,,,,,,,,,,
297,2011,Kochi Tuskers Kerala,Chennai Super Kings,Chennai Super Kings,,,,,,,,,,,
